"feature","peak_id","mz","mzmin","mzmax","rt","rtmin","rtmax","into","intb","maxo","sn","sample","file_name","adduct_type","M_area"
"FT0191",27999,113.054207589547,113.054149627686,113.054264068604,333.991058349609,310.489273071289,348.407302856445,72355.4417898506,NA,30346.861328125,NA,13,"190715_Smp_FK180310S62C1-DCM_A.mzML","C13",659712.851130322
"FT0191",28790,113.054234113991,113.054149627686,113.054264068604,322.610260009766,310.489273071289,348.407302856445,1210081.48581275,NA,227167.5,NA,14,"190715_Smp_FK180310S62C1-DCM_B.mzML","C13",3376841.0867064
"FT0191",29623,113.05419358879,113.054149627686,113.054264068604,325.886688232422,310.489273071289,348.407302856445,1038050.70376952,NA,119799.4921875,NA,15,"190715_Smp_FK180310S62C1-DCM_C.mzML","C13",1311983.07354641
"FT0191",30495,113.054197257929,113.054149627686,113.054264068604,323.331115722656,310.489273071289,348.407302856445,633994.791133905,NA,61659.90625,NA,16,"190715_Smp_FK180310S64C1-25m_A.mzML","C13",942304.862923861
"FT0191",31342,113.054215241454,113.054149627686,113.054264068604,325.080108642578,310.489273071289,348.407302856445,414423.121403732,NA,77119.4609375,NA,17,"190715_Smp_FK180310S64C1-25m_B.mzML","C13",933734.95681873
"FT0191",32211,113.054209972636,113.054149627686,113.054264068604,322.819976806641,310.489273071289,348.407302856445,251560.774879336,NA,74416.828125,NA,18,"190715_Smp_FK180310S64C1-25m_C.mzML","C13",721319.328168452
"FT0191",33048,113.054212220177,113.054149627686,113.054264068604,320.453552246094,310.489273071289,348.407302856445,100636.393237951,NA,50621.26171875,NA,19,"190715_Smp_FK180310S64C1-DCM_A.mzML","C13",999588.439931214
"FT0191",33878,113.054226000275,113.054149627686,113.054264068604,323.901123046875,310.489273071289,348.407302856445,651946.000498209,NA,94584.6953125,NA,20,"190715_Smp_FK180310S64C1-DCM_B.mzML","C13",1010848.74486318
"FT0191",34769,113.054228554649,113.054149627686,113.054264068604,325.44775390625,310.489273071289,348.407302856445,378818.294111504,NA,63546.03515625,NA,21,"190715_Smp_FK180310S64C1-DCM_C.mzML","C13",1003655.87356424
"FT0191",35673,113.054217006223,113.054149627686,113.054264068604,322.167602539062,310.489273071289,348.407302856445,342999.487785119,NA,58273.15234375,NA,22,"190715_Smp_FK180310S77C1-25m_A.mzML","C13",736788.534949109
